recommender,prolificPID,recID,movieTitle,shouldWatch,order,sentence,classification
gpt-3.5-turbo,61254c5a6facc8ed023a64de,1,The Silence of the Lambs,TRUE,0,The Silence of the Lambs is a must-watch movie for anyone who loves psychological thrillers.,Ev
gpt-3.5-turbo,61254c5a6facc8ed023a64de,1,The Silence of the Lambs,TRUE,1,"The movie is a masterpiece in terms of storytelling, acting, and direction.",Ev
gpt-3.5-turbo,61254c5a6facc8ed023a64de,1,The Silence of the Lambs,TRUE,2,"It keeps you on the edge of your seat from start to finish, with its gripping plot and unforgettable characters.",Ev
gpt-3.5-turbo,61254c5a6facc8ed023a64de,1,The Silence of the Lambs,TRUE,3,"The performances of Jodie Foster and Anthony Hopkins are outstanding, and the movie's themes of power, manipulation, and obsession are explored in a way that will leave you thinking long after the credits roll.",Ev
gpt-3.5-turbo,61254c5a6facc8ed023a64de,1,The Silence of the Lambs,TRUE,4,"If you're a fan of the genre, or just looking for a great movie to watch, The Silence of the Lambs is a must-see.",Ev
random-imdb,61254c5a6facc8ed023a64de,2,The Lion King,TRUE,0,The Lion King is a timeless classic that has captured the hearts of audiences for generations.,NA
random-imdb,61254c5a6facc8ed023a64de,2,The Lion King,TRUE,1,"This animated masterpiece tells the story of Simba, a young lion who must overcome adversity and reclaim his rightful place as king of the Pride Lands.",NA
random-imdb,61254c5a6facc8ed023a64de,2,The Lion King,TRUE,2,"With stunning animation, unforgettable music, and a powerful message about the importance of family and responsibility, The Lion King is a must-see for anyone who loves great storytelling.",Ev
random-imdb,61254c5a6facc8ed023a64de,2,The Lion King,TRUE,3,"Whether you're a fan of animation, drama, or just great movies in general, The Lion King is a film that you won't want to miss.",Ev
random-imdb,61254c5a6facc8ed023a64de,3,Angels with Dirty Faces,TRUE,0,Angels with Dirty Faces is a classic crime drama that tells the story of two childhood friends who grow up to become very different men.,NA
random-imdb,61254c5a6facc8ed023a64de,3,Angels with Dirty Faces,TRUE,1,"One becomes a priest, while the other becomes a notorious gangster.",NA
random-imdb,61254c5a6facc8ed023a64de,3,Angels with Dirty Faces,TRUE,2,"The movie explores themes of loyalty, friendship, and the consequences of one's actions.",NA
random-imdb,61254c5a6facc8ed023a64de,3,Angels with Dirty Faces,TRUE,3,"If you enjoyed The Godfather, you may appreciate the complex relationships between the characters in Angels with Dirty Faces.",Comp
random-imdb,61254c5a6facc8ed023a64de,3,Angels with Dirty Faces,TRUE,4,"The Shawshank Redemption also deals with themes of redemption and the consequences of one's actions, which are also present in Angels with Dirty Faces.",Comp
random-imdb,61254c5a6facc8ed023a64de,3,Angels with Dirty Faces,TRUE,5,"Catch Me If You Can is a crime drama that explores the life of a con artist, which may appeal to fans of the gangster character in Angels with Dirty Faces.",Comp
random-imdb,61254c5a6facc8ed023a64de,3,Angels with Dirty Faces,TRUE,6,"If you disliked Pulp Fiction, 2001: A Space Odyssey, and Zardoz, you may appreciate the more straightforward storytelling and classic Hollywood style of Angels with Dirty Faces.",Op
gpt-3.5-turbo,61254c5a6facc8ed023a64de,4,The Matrix,FALSE,0,Someone with these movie preferences may not enjoy watching The Matrix because it shares some similarities with the movies they disliked.,Sim
gpt-3.5-turbo,61254c5a6facc8ed023a64de,4,The Matrix,FALSE,1,"Pulp Fiction and The Matrix are both non-linear in their storytelling, which may not be appealing to someone who dislikes the former.",Sim
gpt-3.5-turbo,61254c5a6facc8ed023a64de,4,The Matrix,FALSE,2,"2001: A Space Odyssey and Zardoz are both science fiction movies that are known for their abstract and surreal elements, which may not be enjoyable for someone who dislikes those types of movies.",Sim
gpt-3.5-turbo,61254c5a6facc8ed023a64de,4,The Matrix,FALSE,3,"Additionally, The Matrix has some violent scenes, which may not be appealing to someone who prefers more character-driven movies like The Godfather or The Shawshank Redemption.",Comp
gpt-3.5-turbo,61254c5a6facc8ed023a64de,5,The Room,FALSE,0,"You should not watch the movie ""The Room"" because it is widely considered to be one of the worst movies ever made.",Po
gpt-3.5-turbo,61254c5a6facc8ed023a64de,5,The Room,FALSE,1,"The acting is terrible, the plot is nonsensical, and the production values are extremely low.",Ev
gpt-3.5-turbo,61254c5a6facc8ed023a64de,5,The Room,FALSE,2,"While some people enjoy watching bad movies for their entertainment value, ""The Room"" is so bad that it may not even be enjoyable in that way.",Ev
gpt-3.5-turbo,61254c5a6facc8ed023a64de,5,The Room,FALSE,3,Save yourself the time and watch something else instead.,Pra
gpt-3.5-turbo,61669e4582549043d66bdd78,0,Contagion,TRUE,0,"Contagion is a movie that someone with these preferences should watch because it shares similarities with Outbreak, a favorite movie.",Sim
gpt-3.5-turbo,61669e4582549043d66bdd78,0,Contagion,TRUE,1,Both movies deal with the outbreak of a deadly virus and the race to find a cure.,Sim
gpt-3.5-turbo,61669e4582549043d66bdd78,0,Contagion,TRUE,2,"Additionally, Contagion has a strong cast, including Matt Damon and Kate Winslet, and a well-written script that keeps the audience engaged.",NA
gpt-3.5-turbo,61669e4582549043d66bdd78,0,Contagion,TRUE,3,"While it may not have the action-packed scenes of John Wick or the courtroom drama of A Time to Kill, Contagion offers a thought-provoking and timely story that is relevant to our current world situation.",Comp
gpt-3.5-turbo,61669e4582549043d66bdd78,0,Contagion,TRUE,4,"As for the disliked movies, Contagion is vastly different from American Pie and The Matrix Reloaded, and it offers a more serious and realistic take on a global crisis.",Comp
gpt-3.5-turbo,61669e4582549043d66bdd78,1,A Time to Kill,TRUE,0,"A Time to Kill is a gripping legal drama that explores themes of race, justice, and morality.",NA
gpt-3.5-turbo,61669e4582549043d66bdd78,1,A Time to Kill,TRUE,1,The movie tells the story of a young lawyer who defends a black man accused of murdering two white men who raped his daughter.,NA
gpt-3.5-turbo,61669e4582549043d66bdd78,1,A Time to Kill,TRUE,2,"The film is emotionally charged and features powerful performances from its cast, including Samuel L. Jackson, Matthew McConaughey, and Sandra Bullock.",NA
gpt-3.5-turbo,61669e4582549043d66bdd78,1,A Time to Kill,TRUE,3,A Time to Kill is a thought-provoking and intense film that will leave you thinking about its themes long after the credits roll.,NA
gpt-3.5-turbo,61669e4582549043d66bdd78,1,A Time to Kill,TRUE,4,"If you enjoy legal dramas or movies that tackle complex social issues, A Time to Kill is definitely worth watching.",Ev
random-imdb,61669e4582549043d66bdd78,2,Darkest Hour,TRUE,0,"If you are a fan of historical dramas, then you should definitely watch ""Darkest Hour"".",Ev
random-imdb,61669e4582549043d66bdd78,2,Darkest Hour,TRUE,1,This movie tells the story of Winston Churchill's early days as Prime Minister of the United Kingdom during World War II.,NA
random-imdb,61669e4582549043d66bdd78,2,Darkest Hour,TRUE,2,Gary Oldman's performance as Churchill is outstanding and earned him an Academy Award for Best Actor.,Ev
random-imdb,61669e4582549043d66bdd78,2,Darkest Hour,TRUE,3,The film also features stunning cinematography and a gripping score.,Ev
random-imdb,61669e4582549043d66bdd78,2,Darkest Hour,TRUE,4,"""Darkest Hour"" is a powerful and inspiring portrayal of a pivotal moment in history and is a must-see for anyone interested in politics or World War II.",Ev
gpt-3.5-turbo,6120b4fca2fedeb88787374c,1,The Martian,TRUE,0,"If you're a fan of science fiction and survival stories, then you should definitely watch ""The Martian"".",Ev
gpt-3.5-turbo,6120b4fca2fedeb88787374c,1,The Martian,TRUE,1,This movie tells the story of an astronaut who is stranded on Mars and must use his knowledge and skills to survive until he can be rescued.,NA
gpt-3.5-turbo,6120b4fca2fedeb88787374c,1,The Martian,TRUE,2,The film is visually stunning and features a great performance by Matt Damon as the lead character.,Ev
gpt-3.5-turbo,6120b4fca2fedeb88787374c,1,The Martian,TRUE,3,It's a thrilling and suspenseful ride that will keep you on the edge of your seat until the very end.,Ev
gpt-3.5-turbo,6120b4fca2fedeb88787374c,1,The Martian,TRUE,4,"Plus, it's a great reminder of the power of human ingenuity and the importance of never giving up in the face of adversity.",Ev
random-imdb,6120b4fca2fedeb88787374c,2,Talladega Nights: The Ballad of Ricky Bobby,TRUE,0,"If you're a fan of Will Ferrell's brand of humor, you'll love Talladega Nights: The Ballad of Ricky Bobby.",Ev
random-imdb,6120b4fca2fedeb88787374c,2,Talladega Nights: The Ballad of Ricky Bobby,TRUE,1,"This movie is a hilarious satire of the world of NASCAR racing, with Ferrell playing the titular character, a cocky and overconfident driver who must learn to overcome his own ego and work with his teammate to win races.",Ev
random-imdb,6120b4fca2fedeb88787374c,2,Talladega Nights: The Ballad of Ricky Bobby,TRUE,2,"The film is full of absurd humor, over-the-top characters, and quotable one-liners that will have you laughing out loud.",Ev
random-imdb,6120b4fca2fedeb88787374c,2,Talladega Nights: The Ballad of Ricky Bobby,TRUE,3,"Plus, the supporting cast, including John C. Reilly and Sacha Baron Cohen, is fantastic.",NA
random-imdb,6120b4fca2fedeb88787374c,2,Talladega Nights: The Ballad of Ricky Bobby,TRUE,4,"If you're in the mood for a silly, irreverent comedy, Talladega Nights is definitely worth a watch.",Ev
gpt-3.5-turbo,61669e4582549043d66bdd78,4,Twilight,FALSE,0,Twilight is a movie that may not be suitable for everyone.,NA
gpt-3.5-turbo,61669e4582549043d66bdd78,4,Twilight,FALSE,1,"The movie is known for its cheesy dialogue, poor acting, and lack of plot development.",Ev
gpt-3.5-turbo,61669e4582549043d66bdd78,4,Twilight,FALSE,2,"The story revolves around a teenage girl who falls in love with a vampire, which may not appeal to everyone's taste.",Ev
gpt-3.5-turbo,61669e4582549043d66bdd78,4,Twilight,FALSE,3,"Additionally, the movie has been criticized for promoting unhealthy relationships and toxic masculinity.",Ev
gpt-3.5-turbo,61669e4582549043d66bdd78,4,Twilight,FALSE,4,"Overall, if you are looking for a well-written and well-acted movie, Twilight may not be the best choice for you.",Ev
gpt-3.5-turbo,61669e4582549043d66bdd78,5,The Notebook,FALSE,0,"Someone with these movie preferences may not enjoy watching The Notebook because it is a romantic drama, which is a genre that is not represented in their favorite movies.",Cr
gpt-3.5-turbo,61669e4582549043d66bdd78,5,The Notebook,FALSE,1,"Additionally, The Notebook is a slow-paced movie that focuses on character development and relationships, which may not be appealing to someone who enjoys action-packed movies like John Wick or Outbreak.",Comp
gpt-3.5-turbo,61669e4582549043d66bdd78,5,The Notebook,FALSE,2,"Finally, The Notebook has a sentimental and emotional tone, which may not resonate with someone who disliked movies like Faith Like Potatoes or A Time to Kill, which have a more serious and dramatic tone.",Comp
gpt-3.5-turbo,60dc9556508486e19fc42546,0,Ocean's Eleven,TRUE,0,Ocean's Eleven is a great movie for someone who enjoys heist movies with a touch of humor.,Ev
gpt-3.5-turbo,60dc9556508486e19fc42546,0,Ocean's Eleven,TRUE,1,"The movie features a star-studded cast, including George Clooney, Brad Pitt, and Matt Damon, who plan to rob three Las Vegas casinos simultaneously.",NA
